ANIO_VIAJE,MES_VIAJE,LOCATION_ID_SALIDA,ZONE_SALIDA,LOCATION_ID_LLEGADA,ZONE_LLEGADA,Borough_SALIDA,Borough_LLEGADA,TOTAL_VIAJES,TRIP_DISTANCE,TOTAL_TARIFA
2011,1,43,Central Park,122,Hollis,Manhattan,Queens,3,45.8,108.7
2011,1,36,Bushwick North,95,Forest Hills,Brooklyn,Queens,1,5.64,15.7
2011,1,107,Gramercy,96,Forest Park/Highland Park,Manhattan,Queens,3,30.52,72.3
2011,1,84,Eltingville/Annadale/Prince's Bay,84,Eltingville/Annadale/Prince's Bay,Staten Island,Staten Island,5,3.16,32.2
2011,1,84,Eltingville/Annadale/Prince's Bay,44,Charleston/Tottenville,Staten Island,Staten Island,2,4.92,17.0
2011,1,14,Bay Ridge,113,Greenwich Village North,Brooklyn,Manhattan,1,2.51,10.9
2011,1,123,Homecrest,14,Bay Ridge,Brooklyn,Brooklyn,2,15.3,38.2
2011,1,21,Bensonhurst East,25,Boerum Hill,Brooklyn,Brooklyn,1,11.05,26.5
2011,1,61,Crown Heights North,55,Coney Island,Brooklyn,Brooklyn,1,10.4,27.7
2011,1,116,Hamilton Heights,119,Highbridge,Manhattan,Bronx,21,50.86,183.3
2011,1,68,East Chelsea,112,Greenpoint,Manhattan,Brooklyn,557,3233.2900000000013,9906.499999999996
2011,1,33,Brooklyn Heights,107,Gramercy,Brooklyn,Manhattan,437,2051.380000000003,6346.5
2011,1,37,Bushwick South,4,Alphabet City,Brooklyn,Manhattan,17,58.410000000000004,206.10000000000002
2011,1,75,East Harlem South,50,Clinton West,Manhattan,Manhattan,394,1595.62,5289.8
2011,1,50,Clinton West,18,Bedford Park,Manhattan,Bronx,17,185.88000000000002,460.90000000000003
2011,1,39,Canarsie,77,East New York/Pennsylvania Avenue,Brooklyn,Brooklyn,4,14.3,42.4
2011,1,13,Battery Park City,71,East Flatbush/Farragut,Manhattan,Brooklyn,11,86.17,261.1
2011,1,33,Brooklyn Heights,11,Bath Beach,Brooklyn,Brooklyn,8,69.3,175.6
2011,1,66,DUMBO/Vinegar Hill,34,Brooklyn Navy Yard,Brooklyn,Brooklyn,60,98.45,428.7999999999999
2011,1,79,East Village,16,Bayside,Manhattan,Queens,35,564.4499999999999,1284.7
2011,1,88,Financial District South,105,Governor's Island/Ellis Island/Liberty Island,Manhattan,Manhattan,26,57.559999999999995,219.39999999999998
